title,description,source,category
Smell Test at Home May Sniff Out Early Cognitive Decline - Neuroscience News,"A new study highlights that olfactory testing could offer a simple, cost-effective way to detect early cognitive impairment from home.",Neurosciencenews.com,health
Bird flu could be on the cusp of transmitting between humans − but there are ways to slow down viral evolution - The Conversation Indonesia,"At the viral chatter stage of an outbreak, pathogens are just starting to infect people in sporadic bursts. It’s a sign that a pandemic may be on the horizon.",The Conversation Africa,health
"As avoidable deaths slowed globally, they rose in the U.S. - The Washington Post","Avoidable mortality increased by an average of 33 deaths per 100,000 people across the United States from 2009 to 2019.",The Washington Post,health
New observations of the universe show how mysterious dark energy may be evolving - CNN,"New observations of the cosmos show that the dark energy, a mysterious force that accelerates the expansion of the universe, is evolving.",CNN,science
"50,000-Year-Old Tools Found in China Could Point to Unknown Human Ancestor - SciTechDaily","Researchers found European-style Quina tools in China, dating back 55,000 years, challenging the view that East Asia’s Middle Paleolithic era was stagnant and opening new questions about early human innovation and migration. The Middle Paleolithic period is o…",SciTechDaily,science
Parker Probe Repeats Record Brush With The Sun in Daredevil Dive - ScienceAlert,"NASA's Parker Solar Probe has repeated its record-smashing performance of December 2024, swooping down within a scorching 6.1 million kilometers (3.8 million miles) of the Sun's surface.",ScienceAlert,science
"Mammals were adapting from life in the trees to living on the ground before dinosaur-killing asteroid, research reveals - Phys.org","More mammals were living on the ground several million years before the mass extinction event that wiped out the dinosaurs, new research led by the University of Bristol has revealed.",Phys.Org,science
NASA's new SPHEREx space telescope takes its 1st cosmic images: 'The instrument team nailed it' - Space.com,"""This is the observatory's full field of view, a rectangular area about 20 times wider than the full moon.""",Space.com,science
"Scientists discover a new phase of matter that's 'half ice, half fire' - Live Science","U.S. government scientists have developed a new phase of matter dubbed 'half ice, half fire,' which unites opposing electron spins in a unique magnet.",Live Science,science
"North America is dripping from below, geoscientists discover - Phys.org",Researchers have discovered that the underside of the North American continent is dripping away in blobs of rock—and that the remnants of a tectonic plate sinking in Earth's mantle may be the reason why.,Phys.Org,science
"Antarctic iceberg the size of Chicago breaks off, reveals thriving undersea ecosystem - ABC7 Los Angeles","An iceberg the size of Chicago broke off am Antarctic ice shelf to reveal a thriving ecosystem underneath, according to researchers.",KABC-TV,science
"April’s Night Sky to Dazzle With Two Meteor Showers, Rare Planet Alignments, and a Celestial Marathon - The Daily Galaxy","April’s night sky is set to dazzle with twin meteor showers, rare planet-moon pairings, and a cosmic challenge that will keep stargazers up all night.",The Daily Galaxy --Great Discoveries Channel,science
Starliner’s flight to the space station was far wilder than most of us thought - Ars Technica,"“Hey, this is a very precarious situation we’re in.”…",Ars Technica,science
Scientists excited about the possible collision of asteroid 2024 YR4 with the Moon: “Hopefully it will have an - Diario AS,Asteroid 2024 YR4 was classified in February at Level 3 on the Torino Scale prompting the UN to activate the Planetary Security Protocol for the first time.,As.com,science
Cryptocurrency billionaire watches SpaceX rocket launch on the way to his own SpaceX rocket launch - Space.com,Now that's a two-for-one deal.,Space.com,science
DARPA accidentally detects SpaceX Falcon 9 rocket reentry by listening to Earth's atmosphere - Space.com,"""The phenomenon is highly repeatable. We discovered an unplanned new technique for identifying objects entering the earth's atmosphere.""",Space.com,science
Images Reveal NASA’s Lunar Reconnaissance Orbiter Spotted a ‘Blue Ghost’ on the Moon - The Debrief,New images released by NASA have revealed an ambitious spacecraft's landing site during its recent mission to the lunar surface.,Thedebrief.org,science
A step towards life on Mars? Lichens survive Martian simulation in new study - Phys.org,"For the first time, researchers have demonstrated that certain lichen species can survive Mars-like conditions, including exposure to ionizing radiation, while maintaining a metabolically active state.",Phys.Org,science
Why Your Favorite ‘Earth 2.0’ Might Never Support Life After All? - The Daily Galaxy,That promising Earth 2.0? It might be hiding a secret deep below the surface — and it could change everything about where we look for life.,The Daily Galaxy --Great Discoveries Channel,science
Floating blue-eyed robot keeps watch on the ISS: Space photo of the day - Space.com,"Looking like a soccer ball with glowing blue eyes, the Japanese Experiment Module Internal Ball Camera-2 is put to test aboard the International Space Station.",Space.com,science
Scientists merge two 'impossible' materials into new artificial structure - Phys.org,An international team led by Rutgers University-New Brunswick researchers has merged two lab-synthesized materials into a synthetic quantum structure once thought impossible to exist and produced an exotic structure expected to provide insights that could lea…,Phys.Org,science
"Buried for Millennia, Scientists Coax 7,000-Year-Old Algae Back to Life - Gizmodo",The revived organisms resumed their biological activities as if they hadn't been without oxygen and light for thousands of years.,Gizmodo.com,science
"Deep in the Malaysian forest, I found a prehistoric-looking insect that's left scientists puzzled for hundreds of years - BBC Wildlife Magazine",The females also remain forever young – as they stay in a juvenile form – and contain plenty of unpleasant chemicals.,Discoverwildlife.com,science
"NASA Signs Contract for Elon Musk's Starship, Even Though It's Never Launched Without Exploding - Futurism",NASA has officially added SpaceX's Starship to its launch vehicle roster despite the vehicle never having completed a successful test flight.,Futurism,science
A Million-Mile-Long Plasma Twist Just Launched From the Sun—And It’s on Camera - The Daily Galaxy,"NASA and ESA's Solar Orbiter just captured a massive spiral of solar wind erupting from the Sun—offering a rare, up-close glimpse into the engine powering space weather.",The Daily Galaxy --Great Discoveries Channel,science
Janet Petro Speaks at Space Science Week - NASA Watch,Acting NASA Administrator Janet Petro just gave a plenary overview of NASA science at NAS Space Science Week,Nasawatch.com,science
Scientists Spotted Evidence of an Unseen Universe—Even Though That Should Be Impossible - Yahoo,We just saw light from a galaxy we shouldn’t be able to see.,Popular Mechanics,science
Scientists used JWST instruments 'wrong' on purpose to capture direct images of exoplanets - Space.com,"""I like to joke that for this paper we 'used the coronagraphs wrong'""",Space.com,science
"Tuesday Telescope: On Mars, the rovers take pictures of robotic arms and rocks - Ars Technica","Wait, the Daily Telescope is back? Sort of.",Ars Technica,science
Meet the 'amazing' Ghanaian science gurus 'shattering ceilings' at NASA - GhanaWeb,"Ghana is making its mark on the global space scene, thanks to the remarkable contributions of some of its citizens at the National Aeronautics and Space Administration (NASA).",GhanaWeb,science
What to Know about the ‘Qudit’—and How It Could Change Quantum Computing - Gizmodo,The rabbit hole of quantum gets weirder the deeper you go—but also has plenty of promise.,Gizmodo.com,science
Ambitious NIH drive to solve brain mysteries faces uncertain future - statnews.com,"Budgeted spending for NIH BRAIN Initiative has plunged by more than half, from $680 million in 2023 to $320 million this year",STAT,science
Muscles and guts of prehistoric animal found “preserved in unimaginable detail” in South African mountains - BBC Wildlife Magazine,"The fossilised remains, unearthed 25 years ago from farmland in the Cederberg Mountains, have only recently been described.",Discoverwildlife.com,science
Wild New Study Suggests Buttholes Once Had a Very Different Purpose - ScienceAlert,"If the genes of a tiny, bumless invertebrate are anything to go by, our anuses might be repurposed sperm chutes.",ScienceAlert,science
Einstein Didn't Think This Stunning Picture Was Possible. We're Glad He Was Wrong. - ScienceAlert,One of the first verified predictions of general relativity is the gravitational deflection of starlight.,ScienceAlert,science
Holes in Desert Rocks May Have Been Left by Microbe Unlike Any Known - ScienceAlert,"An unusual pattern of tiny rock tunnels, first found in Namibia's desert roughly 15 years ago, could be the work of an unknown life form – a mysterious microorganism unlike any other described bacteria, fungi, or lichen on Earth.",ScienceAlert,science
"Mars may hold a massive water reservoir, enough to flood the planet up to nine feet - Interesting Engineering","Scientists believe the MFF’s ice, protected by layers of dust or ash, could reveal clues about Mars' ancient, water-rich past.",Interesting Engineering,science
"""Unstoppable defense in space"": US Space Force's massive platform launches to crush satellite threats with unprecedented power - Sustainability Times","IN A NUTSHELL 🚀 Orbital carriers are set to revolutionize space deployment with on-demand launch capabilities for rapid response. 🔧 Gravitics, Inc. has secured significant funding from SpaceWERX to develop this groundbreaking platform. 🔒 The initiative aim…",Sustainability-times.com,science
NASA pulls graphic novels about female astronauts from website - Chron,NASA deletes graphic novel series about a female astronaut exploring the moon from its website.,Chron.com,science
"Giant, mysterious organisms discovered are impossible to categorize - Earth.com","Researchers reveal Prototaxites, a giant Devonian fossil, was not a fungus or plant but a unique extinct lineage.",Earth.com,science
Hubble's 20-year study of Uranus yields new atmospheric insights - Phys.org,"The ice-giant planet Uranus, which travels around the sun tipped on its side, is a weird and mysterious world. Now, in an unprecedented study spanning two decades, researchers using NASA's Hubble Space Telescope have uncovered new insights into the planet's a…",Phys.Org,science
"NASA launches rockets into auroras, creating breathtaking lights in Alaskan skies (photos) - Space.com",The sounding rockets released vapor tracers and pressure sensors at different altitudes across central and northern Alaska during a sudden auroral substorm.,Space.com,science
"Research roundup: 2,400-year-old clay puppets; this is your brain on Klingon - Ars Technica",Also: testing the efficacy of WWI “dazzle” camouflage; how the male blue-lined octopus survives deadly mating ritual.,Ars Technica,science
Review | A new study of Einstein explores his search for spiritual meaning - The Washington Post,"In “I Am a Part of Infinity,” Kieran Fox celebrates Einstein’s attempt to address the emptiness of a disenchanted world.",The Washington Post,science
Toxic dust on Mars could make astronauts sick - Yahoo,"A unique set of risks and challenges await the first astronauts on Mars. Deadly solar radiation, nighttime temperatures regularly dropping lower than -100...",Popular Science,science
"Orcas Are Terrorizing Sharks, And The Consequences Could Be Profound - ScienceAlert","A pair of orcas terrorizing white sharks off the coast of South Africa may have captured the popular imagination, but their activities may be quite damaging, new research suggests.",ScienceAlert,science
"Mysterious 'dent’ in Earth’s magnetic field is growing rapidly, NASA says - Interesting Engineering",Scientists say that the anomaly may originate from the turbulent flow of molten iron in Earth's outer core.,Interesting Engineering,science
Some clever fish use tools to crack open prey - Earth.com,Wrasse fish use hard surfaces as tools to crack open prey. This behavior shows flexible thinking and environmental awareness.,Earth.com,science
Jets from powerful black holes can point astronomers toward where to look for life in the universe - Phys.org,"One of the most powerful objects in the universe is a radio quasar—a spinning black hole spraying out highly energetic particles. Come too close to one, and you'd get sucked in by its gravitational pull, or burn up from the intense heat surrounding it. But ir…",Phys.Org,science
"Something ""Strange"" Happened To Mice Who Lived On The ISS For 37 Days - IFLScience",The mice provide insights on how humans lose bone density in microgravity.,IFLScience,science
Europe’s quest to finally land on Mars takes another turn - Ars Technica,Nearly 20 years have passed since the European Space Agency committed to ExoMars.,Ars Technica,science
"Breakthrough Lightsail: Ultra-Thin, AI-Optimized, and Ready to Race to Alpha Centauri - SciTechDaily","A new collaboration between Brown University and TU Delft has brought us closer to interstellar travel using light-powered sails. By combining ultra-thin, highly reflective materials with AI-optimized nanoscale design, researchers created a revolutionary ligh…",SciTechDaily,science
"With Behaviors Like These in Complex Systems, Who Needs Mechanisms? - American Physical Society",A new study of complex systems supports a growing trend that focuses more on analyzing a system’s collective behavior rather than on trying to uncover the underlying interaction mechanisms.,Aps.org,science
Elon Musk Secretly Working to Take Over NASA - Futurism,"Despite SpaceX already being NASA's largest private contractor, Elon Musk is still hellbent on assuming control over the space agency.",Futurism,science
"Horses, donkeys and zebras have adaptations that break normal genomic rules - Phys.org",A genetic mutation in horses that would typically halt protein production has become a molecular asset. Researchers at Johns Hopkins University and Vanderbilt University have identified a rare instance of genetic recoding that enhances oxygen metabolism and e…,Phys.Org,science
"The Last Hunter-Gatherers May Have Dabbled In Metallurgy 11,000 Years Ago - IFLScience",A new discovery may push back the origins of smithing by five millennia.,IFLScience,science
NASA Awards Astrophysics Postdoctoral Fellowships for 2025 - NASA Science (.gov),The highly competitive NASA Hubble Fellowship Program (NHFP) names 24 new fellows to its 2025 class.,NASA,science
This sulfur-based space molecule could tell us about the emergence of life on Earth - Space.com,"""We are really trying to understand how far we can go, chemically, toward larger biological molecules and what environments are needed to form them.""",Space.com,science
Genes Play a Role in Why We Love Music - Neuroscience News,"A new genetic study reveals that our capacity to enjoy music is partly inherited, with 54% of music enjoyment variability linked to DNA differences.",Neurosciencenews.com,science
Geologists Use Rusty Rocks to Trace a Billion-Year Gap in Earth’s Timeline - The Daily Galaxy --Great Discoveries Channel,A team of geoscientists at Utah State University has developed a powerful new method to date billion-year-old oxidation events in rusty rocks.,The Daily Galaxy --Great Discoveries Channel,science
NASA's Unexpected Discovery of The Largest Organics on Mars Explained - ScienceAlert,NASA's Curiosity Mars rover has detected the largest organic (carbon-containing) molecules ever found on the red planet.,ScienceAlert,science
Dodgers' 7-0 start ties 1933 Yanks as May returns - ESPN,"With Dustin May on the mound for the first time in more than 22 months, the Dodgers came from behind to beat the Braves 3-1 on Tuesday night and improve to 7-0, tying the 1933 Yankees for the best start to a season by a reigning World Series champion.",ESPN,sports
Fantasy Baseball SP Roundup 4/1: Eov Moment #37 - Pitcher List,Nick Pollack reviews every starting pitcher performance from Tuesday.,Pitcherlist.com,sports
Braves look lifeless again in 3-1 loss to Dodgers - Battery Power,A wasted start from Chris Sale and an 0-6 record.,Batterypower.com,sports
"Relentless Padres score slew of runs late, beat Guardians to stay undefeated in 2025 - San Diego Union-Tribune",Padres extend franchise-best start to 6-0 with another shutout,The San Diego Union-Tribune,sports
Co-MVP Peterson leads West to All American win - ESPN,"Darryn Peterson scored 18 points as the game's co-MVP along with Cameron Boozer, leading the West over the East 105-92 on Tuesday night in the McDonald's All American boys' game at Barclays Center.",ESPN,sports
"Steph Curry scores 52, hits 12 3-pointers, as Warriors rally past Grizzlies - The Mercury News",Golden State’s Steph Curry makes 12 3-pointers as Warriors guard passes Jerry West on NBA’s all-time scoring list.,The Mercury News,sports
Here’s how the new NFL rules on kickoffs and overtime will work - AP News,The one-year trial version of the dynamic kickoff in the NFL led to an uptick in the return rate that wasn’t quite as much as the league had hoped. Now the new form of the kickoff that is more like a scrimmage play is permanent with a change for 2025 that the…,Associated Press,sports
"Capitals prospect Cole Hutson, Boston College teammates, and family attend Ryan Leonard’s NHL debut in Boston - RMNB","Ryan Leonard made his NHL debut against the Boston Bruins, Tuesday night. The 20-year-old winger had the unique opportunity to play his…",Russian Machine Never Breaks,sports
NFL free agency 2025: Notorious Seahawks tormentor returns to NFC West - Field Gulls,Calais Campbell isn’t done playing just yet.,Field Gulls,sports
Target Center brawl means two Timberwolves players suspended - Star Tribune,Timberwolves will be without two key players tonight in Denver.,Minneapolis Star Tribune,sports
NFL soon expects a decision whether to allow players to play Olympic flag football - NBC Sports,NFL players want to compete in flag football in the 2028 Olympic Games in Los Angeles.,NBCSports.com,sports
NBA suspends 5 players for their roles in Pistons-Timberwolves altercation that spilled into stands - AP News,Detroit’s Isaiah Stewart has been suspended for two games by the NBA and four other players from the Pistons and Minnesota Timberwolves drew one-game suspensions for the roles in an on-court altercation between the teams earlier this week. The league says Ste…,Associated Press,sports
"Maryland strikes quickly, hires Texas A&M’s Buzz Williams after Kevin Willard’s exit - WTOP","Maryland hired Buzz Williams as its men’s basketball coach Tuesday, quickly moving on after Kevin Willard left the Terrapins to take the Villanova job.",WTOP,sports
"Steelers Become A ‘Different Team’ With Aaron Rodgers, Believes Big Ben - Steelers Depot","From one future Hall of Famer to the next, Ben Roethlisberger is high on the prospects of Aaron Rodgers leading his former team in 2025. While Rodgers continues to drag his feet on a decision, all signs indicate that he will eventually sign with the team. To …",Steelers Depot,sports
Illinois transfer Morez Johnson commits to Michigan - 247Sports,Morez Johnsons commitment marks the second major transfer portal acquisition for Dusty May and the Michigan Wolverines,247Sports,sports
Dana White Announces Two Title Fights For UFC 316 In Newark - UFC.com,"Bantamweight Champion Merab Dvalishvili Rematches Sean O’Malley, Julianna Peña Defends Bantamweight Title Against Kayla Harrison On June 7, 2025",The Official Website of the Ultimate Fighting Championship,sports
Ruben Amorim reaction — What did Man United boss say after defeat to Nottingham Forest? - NBC Sports,"Even after nearly six months on the job, Ruben Amorim is still learning just how big the job of ""fixing"" Manchester United will truly be.",NBCSports.com,sports
"'Tush Push' vote tabled by NFL owners: Which teams support, oppose polarizing QB sneak play - CBS Sports",The league isn't ready to vote on the play's future in this week's owners meetings,CBS Sports,sports
"76ers vs Knicks Prediction, Odds, Parlay Pick for Tuesday (April 1) - Action Network","Read for our Philadelphia 76ers vs New York Knicks predictions, picks, and NBA odds for Tuesday, April 1",The Action Network,sports
Say goodbye to chain crews: The NFL will use camera technology to measure 1st downs - NPR,"Starting next season, a system of cameras will determine whether to award a first down rather than trot out a 10-yard chain. But humans will still decide where to spot the ball to begin with.",NPR,sports
Bears coach Ben Johnson reveals offseason plan for QB Caleb Williams - Chicago Bears,"When the Bears kick off their offseason program Monday, first-year coach Ben Johnson will begin building a foundation with quarterback Caleb Williams from the ground floor.",ChicagoBears.com,sports
"Rice on returning Saka: ""He’s the man!"" | Interview | News - Arsenal.com",Get the view from the home changing room following our Premier League game against Fulham as Bukayo Saka netted the winner,Arsenal.com,sports
How can an owner like Jimmy Haslam be held accountable? - NBC Sports,"With only 60 percent of Deshaun Watson's landmark five-year, $230 million contract concluded, Browns owner Jimmy Haslam has admitted what everyone already knew.",NBCSports.com,sports
Sleeper Picks: Valero Texas Open - PGA Tour,"NOTE: Sleeper Picks did not appear in Rob’s Power Rankings, but each presents value for the bet specified.",pgatour.com,sports
"Capitals release Ovechkin goal counters across D.C. area, NYC - NHL.com",Team puts up countdown clocks at iconic locations as Gr8 Chase continues,NHL News,sports
"4/1 Preview - Nick Nickson Night! Home Best vs. Away Best + Laferriere ""hopeful"", Turcotte/Jeannot, Frozen Four - LA Kings Insider","WHO: Los Angeles Kings (41-23-9) vs. Winnipeg Jets (51-19-4) WHAT: 2024-25 Regular-Season Game WHEN: Tuesday, April 1 @ 7:30 PM Pacific WHERE: Crypto.com Arena – Los Angeles, CA HOW TO FOLLOW: VIDEO: FanDuel Sports Network – AUDIO – ESPN LA App – TWITTER: @do…",lakingsinsider.com,sports
Craig Breslow Makes Honest Admission About Garrett Crochet Negotiations - NESN,"The Boston Red Sox signed Garrett Crochet to a long-term contract extension, but it certainly wasn't easy, as Craig Breslow revealed.",NESN,sports
NFL will double down on sportsmanship in 2025 - NBC Sports,"The NFL will double down on sportsmanship next season, executive vice president of football operations Troy Vincent said Tuesday.",NBCSports.com,sports
"CONFIRMED lineups: Real Madrid vs Real Sociedad, 2025 Copa del Rey - Managing Madrid",All set for this return leg!,Managing Madrid,sports
Need to Know: Bruins vs. Capitals - NHL.com,"Boston returns home after long trip to battle Washington, Ovechkin",NHL News,sports
"Jerry Jones: Talking directly to Micah Parsons ""straightest way"" to deal - NBC Sports",A report on Tuesday indicated that the Cowboys have offered to make Micah Parsons the highest-paid non-quarterback in the NFL and that Parsons has agreed to the framework of an extension.,NBCSports.com,sports
Five Observations Heading Into the NCAA Women’s Final Four - The Ringer,"UCLA has the players to stop Paige Bueckers and Sarah Strong; actually doing so will be the hard part. Plus, Texas’s need for points and South Carolina’s quiet growth.",The Ringer,sports
Kevin Willard ripped for taking a ‘sh-t’ on Maryland as he left - NJ.com,Kevin Willard ripped for taking a ‘sh-t’ on Maryland as he left,nj.com,sports
Stanley Cup Playoffs Buzz: Blues host Red Wings seeking 10th straight win - NHL.com,Ovechkin 5 goals from passing Gretzky for all-time mark; 5 teams can clinch,NHL News,sports
An 18-3 Cubs drubbing of A's in their Sacramento debut sets a foreboding minor-league tone - The San Francisco Standard,Neither the product on the field — nor the sterilized surrounding atmosphere — felt like the beloved Oakland version.,Sfstandard.com,sports
10 things learned from Matt LaFleur at NFL Annual Meeting - Green Bay Packers,Packers head coach addressed reporters Tuesday morning,Packers.com,sports
Kyle Shanahan hopes Brock Purdy doesn't skip offseason program minus contract extension - NBC Sports,The 49ers might or might not have a contract completed with Brock Purdy by the time the offseason program begins later this month.,NBCSports.com,sports
Fantasy Baseball Daily Hitting Recap: 3/31/25 - Pitcher List,Breaking down notable hitting performances from yesterday’s games.,Pitcherlist.com,sports
"Falcons will trade Kirk Cousins, who’s on the Browns’ radar, if it’s good for him and the team, Raheem Morris - Cleveland.com",A Browns trade for Kirk Cousins would be complicated.,cleveland.com,sports
Robert Kraft responds to player criticism over Patriots team plane - MassLive.com,Robert Kraft said the recent NFLPA player survey was “eye-opening.” Here's what he plans to do about the Patriots team plane,MassLive.com,sports
Cubs’ Seiya Suzuki Had Awkward Moment Thanks to Athletics’ Embarrassing New Stadium - Sports Illustrated,Fans crushed MLB over this setup for a professional baseball game.,Sports Illustrated,sports
"YES Network, Comcast reach 11th-hour deal to avoid blackout - New York Post",Yankees fans in the tri-state area breathed a sigh of relief after YES Network and Comcast came to an 11th-hour deal to avert a blackout.,New York Post,sports
Micro USB is the bane of my existence - The Verge,"Why won’t Micro USB go away? There are a bunch of good (and bad) reasons why the annoying, outdated connector is still around.",The Verge,technology
"Gameplay of EA's New The Sims 'Concept' Appears to Leak Online, and It's Not Going Down Well With Fans - IGN","A video purportedly taken from the next iteration of The Sims has popped up online, and fans have expressed their concern about what it may mean for the much-loved series.",IGN,technology
iOS 18.4—Update Now Warning Issued To All iPhone Users - Forbes,"Apple has issued iOS 18.4, fixing a hefty list of 62 iPhone security vulnerabilities, some of which are serious. Here's what you need to know.",Forbes,technology
RuneScape: Dragonwilds Announced as Jagex's New Take on the Open World Survival Genre - IGN,"Today, Jagex has announced that it's bringing the world of RuneScape into a new genre: survival. The developer revealed RuneScape: Dragonwilds, a cooperative open world survival game coming to early access this spring.",IGN,technology
"Nintendo set to unveil Switch 2, follow-up to megahit game console - Al Jazeera","Japanese gaming giant expected to reveal release date, price and other key details in live presentation on Wednesday.",Al Jazeera English,technology
Motorola’s first Edge 60 phone feels like canvas - The Verge,"The Motorola Edge 60 Fusion is out now in Europe, Asia, and Latin America with a canvas-effect finish and updated AI features.",The Verge,technology
"Video: Metroid Prime 4 Looks Great, But Here's Why The Latest Trailer Isn't Switch 2 Footage - Nintendo Life",Digital Foundry investigates,Nintendo Life,technology
April Fools’ Day Roundup - Outside Magazine,Friendly reminder to question everything today.,Outside,technology
Street Fighter 6 April patch notes - EventHubs,"There was hope we'd finally see Elena yesterday in Street Fighter 6, but that ended up not being the case.Capcom has now released the patch notes for Street Fighter 6's April update containing the new Rival Schools ...",EventHubs,technology
"AI Thinks Like Us: Flaws, Biases, and All, Study Finds - Neuroscience News","A new study finds that ChatGPT, while excellent at logic and math, exhibits many of the same cognitive biases as humans when making subjective decisions.",Neurosciencenews.com,technology
New Windows 11 trick lets you bypass Microsoft Account requirement - BleepingComputer,"A previously unknown trick lets you easily bypass using a Microsoft Account in Windows 11, just as Microsoft tries to make it harder to use local accounts.",BleepingComputer,technology
First tokamak component installed in a commercial fusion plant - Ars Technica,A tokamak moves forward as two companies advance plans for stellarators.,Ars Technica,technology
"Meta HUD Glasses Price, Features & Input Device Reportedly Revealed - UploadVR","A new Bloomberg report details the price and features of Meta's upcoming HUD glasses, and claims that Meta's neural wristband will be in the box.",UploadVR,technology
iOS 18.4’s Messages app adds RCS features for lots of new users - 9to5Mac,"iOS 18.4 brings a big expansion of RCS support inside the Messages app, bringing improved iPhone-Android messaging to lots of new users.",9to5Mac,technology
How to get an April Fools’ event flamethrower code in Dress to Impress - Polygon,Dress to Impress is running a short April Fool’s Day event. Here is the full guide on how to find the flamethrower code.,Polygon,technology
Overwatch 2’s Amazing Annual April Fools’ Day Mode Is Just As Incredible This Year - Kotaku,Blizzard’s tradition of breaking the hero shooter hasn’t gotten old,Kotaku,technology
Craft new mines in Minecraft to mine and craft more in the April Fool's Day update you can actually play - Windows Central,"Mojang Studios has released Craftmine for April Fool's Day, a real update that lets you, well, craft mines. This is a limited time snapshot that's available now.",Windows Central,technology
Cheap TVs’ incessant advertising reaches troubling new lows - Ars Technica,Op-ed: TV screensavers shouldn’t show immigration ads from the Trump administration.,Ars Technica,technology
I'm Still In Complete Shock After Seeing These 65 Fascinating Pictures For The First Time Last Month - BuzzFeed,I had no idea at all.,Buzzfeed,technology
"Amazon just made it easier to buy a new Nvidia or AMD GPU, but with a big catch - PCGamesN","Some RTX 5080, RTX 5070, and RX 9070 XT graphics cards now require an Amazon Prime membership to purchase, making life harder for scalpers.",PCGamesN,technology
watchOS 11.4 now available with three new features for Apple Watch [U: Back] - 9to5Mac,"Apple has just released watchOS 11.4, a small release for the Apple Watch but one that adds a few features nonetheless.",9to5Mac,technology
New Switch 2 Teaser Confirms Nintendo Knows You All Can't Stop Thinking About The C Button - Kotaku,The C button's function will finally be revealed during tomorrow's Switch 2 Direct,Kotaku,technology
Armored Core’s stellar first generation finally available on modern consoles — with a catch - Polygon,"Armored Core’s first generation is available on PS4 and PS5 for PlayStation Plus Premium subscribers, but it’s missing an important feature",Polygon,technology
Nintendo Switch 2 Leak Reveals Dock Supports 4K 60Hz Output via Realtek Chip - The Game Post,A new leak suggests the Nintendo Switch 2 dock could support 4K at 60Hz thanks to a Realtek chip.,Thegamepost.com,technology
The Best Soundbar Deal: The Sonos Arc Drops to Its Lowest Price Ever - IGN,One of the best soundbars of 2025.,IGN,technology
"Acer very quietly launched 6 new Chromebooks, including a tablet - Chrome Unboxed","Just a couple weeks ago, we reported on a new Acer Chromebook Plus 516 that looks all set to arrive at basically any point now. Not only was it listed on the Chromium Dash site, it was also already showing up on cros.tech and had a model name confirmed as wel…",Chrome Unboxed,technology
"Cruelty Squad creator’s latest, Psycho Patrol R, is a nightmare cop sim - Polygon","Psycho Patrol R, the second game from Cruelty Squad creator Ville Kallio, was released via Steam Early Access last week.",Polygon,technology
Enterprise Gmail Users Can Now Send End-to-End Encrypted Emails to Any Platform - The Hacker News,"Gmail launches client-side E2EE beta on its 21st birthday, simplifying encryption and boosting admin control.",Internet,technology
Atomfall the Most Successful Launch in Sniper Elite Developer Rebellion’s 32-Year History - IGN,"Atomfall looks like a hit, with 1.5 million players reached and, ahem, 300,000 cups of tea drank. It's the most successful launch in Rebellion's 32-year history.",IGN,technology
"Galaxy S25 Edge launch date surfaces in latest leak, confirms previous reports - 9to5Google","The Galaxy S25 Edge does not come as a fourth wheel in the main S25 lineup. Like the FE model,...",9to5google.com,technology
Why Your Children’s Toy Sucks: Playhut - Defector,"A look at the awful playtime trinkets you’re forced to keep in your house until you can finally buy your kid a phone. The Toy Playhut, made by the aptly named Basic Fun, which filed for bankruptcy a year ago. The Slogan “Twist, pop and play with Playhut!” The…",Defector.com,technology
Tinder’s new AI-powered game assesses your flirting skills - TechCrunch,"You know the online dating scene is bad when dating giants like Tinder are now introducing AI personas for users to flirt with. On Tuesday, the company Tinder's new game lets users interact with an AI bot to practice flirting and improve their dating skills.",TechCrunch,technology
New AirPods Max just got three more features with iOS 18.4 - 9to5Mac,"iOS 18.4 introduced three additional features for Apple’s recent USB-C version of AirPods Max, here’s what’s new.",9to5Mac,technology
The Best Internet Browsers for Protecting Your Privacy (and the Worst One) - Lifehacker,We asked two privacy experts which browsers to use when it matters most. Here's what they said.,Lifehacker.com,technology
A dedicated Xbox interface for Windows 11 looks to be in the works - Windows Central,"References to a ""full screen experience"" that can be booted directly into on startup have been spotted in the latest Windows 11 preview build. A likely sign of things to come for Windows gaming handhelds.",Windows Central,technology
Xbox 'ZZZ' Tease Leads The Way In April Fools' Jokes This Year - Pure Xbox,We've seen some pretty good ones!,Pure Xbox,technology
Brad Smith’s vision for the PNW: Microsoft’s ‘Tomorrowland’ everywhere - The Seattle Times,"Microsoft President Brad Smith imagines the Northwest with more than a million new homes, high-speed rail and no new taxes.",The Seattle Times,technology
Video Game Workers Vote to Authorize Strike at Microsoft | Communications Workers of America - Communications Workers of America Union,"A bargaining unit of hundreds of video game workers at Microsoft subsidiary ZeniMax Media has overwhelmingly voted, by more than 94%, to authorize union leadership to call for a strike.",Cwa-union.org,technology
"Stardew Valley Baldur's Gate 3 mod back online after D&D owners ""mistakenly"" send a copyright strike - Rock Paper Shotgun","Dungeons & Dragons company Wizards Of The Coast have apologised for ""mistakenly"" sending a legal takedown to the creato…",Rock Paper Shotgun,technology
Galaxy Watch 8 Classic might replace Watch Ultra this year - Sammy Fans,"Samsung’s H2 Unpacked may also bring new smartwatches to the market. Samsung is reportedly working on the Galaxy Watch 8 and Watch 8 Classic (not the Watch Ultra 2), which were just spotted on the SafetyKorea database. Battery units of the Galaxy Watch 8 and …",Sammyfans.com,technology
